cell,kind,name,metric,stratum,n,median,mean,p25,p75
bce_splice_s0,generator,imagen-4.0,pred_pos_frac,all,101,0.0,0.012794217821782179,0.0,0.0
bce_splice_s0,generator,imagen-4.0,auroc,all,5101,0.3743861386138614,0.3743861386138614,nan,nan
bce_splice_s0,generator,midjourney-6,pred_pos_frac,all,185,0.0,0.0050000324324324325,0.0,0.0
bce_splice_s0,generator,midjourney-6,auroc,all,5185,0.3549610810810811,0.3549610810810811,nan,nan
bce_splice_s0,generator,midjourney-7,pred_pos_frac,all,20,0.0,0.0,0.0,0.0
bce_splice_s0,generator,midjourney-7,auroc,all,5020,0.222525,0.222525,nan,nan
bce_splice_s0,generator,mystic,pred_pos_frac,all,142,0.0,0.01668905633802817,0.0,0.0
bce_splice_s0,generator,mystic,auroc,all,5142,0.4150852112676056,0.4150852112676056,nan,nan
bce_splice_s0,generator,sd-1.5,pred_pos_frac,all,176,0.002547,0.034927721590909094,0.0,0.035095
bce_splice_s0,generator,sd-1.5,auroc,all,5176,0.7344022727272728,0.7344022727272728,nan,nan
bce_splice_s0,generator,sd-1.5-dreamshaper,pred_pos_frac,all,176,0.0,0.00745865340909091,0.0,0.0
bce_splice_s0,generator,sd-1.5-dreamshaper,auroc,all,5176,0.44626988636363635,0.44626988636363635,nan,nan
bce_splice_s0,generator,sd-1.5-epicdream,pred_pos_frac,all,185,0.0,0.014954627027027026,0.0,0.0
bce_splice_s0,generator,sd-1.5-epicdream,auroc,all,5185,0.42814216216216217,0.42814216216216217,nan,nan
bce_splice_s0,generator,sd-2.1,pred_pos_frac,all,189,0.020473,0.19199383597883596,0.0,0.215612
bce_splice_s0,generator,sd-2.1,auroc,all,5189,0.763178835978836,0.763178835978836,nan,nan
bce_splice_s0,generator,sd-3.5,pred_pos_frac,all,192,0.0,0.01926788020833333,0.0,0.0
bce_splice_s0,generator,sd-3.5,auroc,all,5192,0.5172067708333333,0.5172067708333333,nan,nan
bce_splice_s0,generator,sdxl,pred_pos_frac,all,185,0.0,0.02993196216216216,0.0,0.0
bce_splice_s0,generator,sdxl,auroc,all,5185,0.5166248648648649,0.5166248648648649,nan,nan
bce_splice_s0,generator,sdxl-epic-realism,pred_pos_frac,all,185,0.0,0.008418475675675675,0.0,0.0
bce_splice_s0,generator,sdxl-epic-realism,auroc,all,5185,0.3393497297297297,0.3393497297297297,nan,nan
bce_splice_s0,generator,sdxl-juggernaut,pred_pos_frac,all,185,0.0,0.004297508108108109,0.0,0.0
bce_splice_s0,generator,sdxl-juggernaut,auroc,all,5185,0.3317616216216216,0.3317616216216216,nan,nan
bce_splice_s0,generator,sdxl-realvis-v5,pred_pos_frac,all,185,0.0,0.03345871351351351,0.0,0.003822
bce_splice_s0,generator,sdxl-realvis-v5,auroc,all,5185,0.5102924324324324,0.5102924324324324,nan,nan
bce_splice_s0,generator,sdxl-touchofrealism,pred_pos_frac,all,185,0.0,0.021242443243243245,0.0,0.0
bce_splice_s0,generator,sdxl-touchofrealism,auroc,all,5185,0.39597567567567565,0.39597567567567565,nan,nan
bce_both_s0,reals,real,pred_pos_frac,all,5000,0.0,0.010241846,0.0,0.0
bce_both_s0,overall,all_generators,auroc,all,8932,0.8745451678535097,0.8745451678535097,nan,nan
bce_both_s0,generator,chroma,pred_pos_frac,all,39,0.024315,0.2400365641025641,0.0,0.4924265
bce_both_s0,generator,chroma,auroc,all,5039,0.8650846153846153,0.8650846153846153,nan,nan
bce_both_s0,generator,dalle-3,pred_pos_frac,all,185,0.262844,0.3113611945945946,0.120057,0.479811
bce_both_s0,generator,dalle-3,auroc,all,5185,0.969201081081081,0.969201081081081,nan,nan
bce_both_s0,generator,flux-1.1-pro,pred_pos_frac,all,185,0.0,0.024378362162162163,0.0,0.0
bce_both_s0,generator,flux-1.1-pro,auroc,all,5185,0.571865945945946,0.571865945945946,nan,nan
bce_both_s0,generator,flux-amateursnapshotphotos,pred_pos_frac,all,26,0.0,0.0805636153846154,0.0,0.08965075
bce_both_s0,generator,flux-amateursnapshotphotos,auroc,all,5026,0.7426269230769231,0.7426269230769231,nan,nan
bce_both_s0,generator,flux-mvc5000,pred_pos_frac,all,147,0.0,0.004169564625850341,0.0,0.0
bce_both_s0,generator,flux-mvc5000,auroc,all,5147,0.5038238095238096,0.5038238095238096,nan,nan
bce_both_s0,generator,flux-realism,pred_pos_frac,all,4,0.2207505,0.24209799999999998,0.0,0.4628485
bce_both_s0,generator,flux-realism,auroc,all,5004,0.840375,0.840375,nan,nan
bce_both_s0,generator,flux.1-dev,pred_pos_frac,all,185,0.0,0.07172716756756757,0.0,0.050666
bce_both_s0,generator,flux.1-dev,auroc,all,5185,0.7992962162162163,0.7992962162162163,nan,nan
bce_both_s0,generator,flux.1-schnell,pred_pos_frac,all,185,0.031698,0.12347567567567566,0.0,0.148196
