cell,kind,name,metric,stratum,n,median,mean,p25,p75
cont_splice_s0,condition,real_crop,image_score,all,6,0.0112075,0.011096333333333333,0.00796375,0.01392175
cont_splice_s0,condition,real_crop,pred_pos_frac,all,6,0.476403,0.47767866666666675,0.36415825,0.560906
cont_splice_s0,condition,sp_boundary,f1,all,6,0.8619895,0.896902,0.855704,0.954912
cont_splice_s0,condition,sp_boundary,iou,all,6,0.757476,0.8193953333333335,0.74780225,0.9180857499999999
cont_splice_s0,condition,sp_boundary,image_score,all,6,0.998374,0.9982381666666668,0.9979335,0.9985355
cont_splice_s0,condition,sp_boundary,pred_pos_frac,all,0,nan,nan,nan,nan
cont_splice_s0,contrast,ai_interior|real_crop,auc,all,6,1.0,1.0,nan,nan
cont_splice_s0,contrast,ai_interior|real_crop,auc,bucket=medium,4,1.0,1.0,nan,nan
cont_splice_s0,contrast,ai_interior|real_crop,auc,bucket=large,2,1.0,1.0,nan,nan
cont_splice_s0,contrast,ai_interior|sp_interior,auc,all,0,nan,nan,nan,nan
cont_splice_s0,contrast,ai_interior|sp_interior,auc,bucket=medium,0,nan,nan,nan,nan
cont_splice_s0,contrast,ai_interior|sp_interior,auc,bucket=large,0,nan,nan,nan,nan
cont_splice_s0,contrast,sp_interior|real_crop,auc,all,0,nan,nan,nan,nan
cont_splice_s0,contrast,ai_interior|fr_bg,auc,all,6,0.978494623655914,0.978494623655914,nan,nan
cont_splice_s0,contrast,ai_boundary|sp_boundary,auc,all,6,0.0,0.0,nan,nan
cont_splice_s0,contrast,ai_boundary|ai_interior,auc,all,6,0.7083333333333334,0.7083333333333334,nan,nan
cont_splice_s0,contrast,sp_boundary|sp_interior,auc,all,0,nan,nan,nan,nan
cont_splice_s0,matched_pairs,ai_interior|real_crop,win_rate,all,6,1.0,0.34114133333333335,0.3522376666666667,0.011096333333333333
cont_both_s0,condition,ai_boundary,f1,all,40,0.9515530000000001,0.8955983499999999,0.91365025,0.97994375
cont_both_s0,condition,ai_boundary,iou,all,40,0.9075825,0.8397434,0.841105,0.96067625
cont_both_s0,condition,ai_boundary,image_score,all,40,0.9988465,0.9928567749999999,0.99857975,0.999034
cont_both_s0,condition,ai_boundary,pred_pos_frac,all,0,nan,nan,nan,nan
cont_both_s0,condition,ai_interior,f1,all,6,0.6498740000000001,0.6523566666666668,0.5688925,0.7089855
cont_both_s0,condition,ai_interior,iou,all,6,0.4815475,0.49333166666666667,0.3985145,0.5497365
cont_both_s0,condition,ai_interior,image_score,all,6,0.98057,0.9154781666666666,0.9009867500000001,0.988418
cont_both_s0,condition,ai_interior,pred_pos_frac,all,6,0.4815475,0.49333166666666667,0.3985145,0.5497365
cont_both_s0,condition,fr_bg,f1,all,0,nan,nan,nan,nan
cont_both_s0,condition,fr_bg,iou,all,0,nan,nan,nan,nan
cont_both_s0,condition,fr_bg,image_score,all,31,0.020216,0.24287509677419356,0.012130499999999999,0.35055200000000003
cont_both_s0,condition,fr_bg,pred_pos_frac,all,31,0.37372399999999995,0.3480086129032258,0.267857,0.41709199999999996
cont_both_s0,condition,real_crop,f1,all,0,nan,nan,nan,nan
cont_both_s0,condition,real_crop,iou,all,0,nan,nan,nan,nan
cont_both_s0,condition,real_crop,image_score,all,6,0.011205,0.011124833333333334,0.0094905,0.012057749999999999
cont_both_s0,condition,real_crop,pred_pos_frac,all,6,0.43176,0.44111399999999995,0.28093100000000004,0.5567605
cont_both_s0,condition,sp_boundary,f1,all,6,0.8618465,0.8968934999999999,0.85600025,0.95445125
cont_both_s0,condition,sp_boundary,iou,all,6,0.757259,0.8193196666666666,0.74825275,0.9171787499999999
cont_both_s0,condition,sp_boundary,image_score,all,6,0.9979450000000001,0.9978988333333333,0.9977465,0.9980235
cont_both_s0,condition,sp_boundary,pred_pos_frac,all,0,nan,nan,nan,nan
cont_both_s0,contrast,ai_interior|real_crop,auc,all,6,1.0,1.0,nan,nan
cont_both_s0,contrast,ai_interior|real_crop,auc,bucket=medium,4,1.0,1.0,nan,nan
cont_both_s0,contrast,ai_interior|real_crop,auc,bucket=large,2,1.0,1.0,nan,nan
cont_both_s0,contrast,ai_interior|sp_interior,auc,all,0,nan,nan,nan,nan
cont_both_s0,contrast,ai_interior|sp_interior,auc,bucket=medium,0,nan,nan,nan,nan
cont_both_s0,contrast,ai_interior|sp_interior,auc,bucket=large,0,nan,nan,nan,nan
cont_both_s0,contrast,sp_interior|real_crop,auc,all,0,nan,nan,nan,nan
cont_both_s0,contrast,ai_interior|fr_bg,auc,all,6,0.9032258064516129,0.9032258064516129,nan,nan
cont_both_s0,contrast,ai_boundary|sp_boundary,auc,all,6,0.8833333333333333,0.8833333333333333,nan,nan
cont_both_s0,contrast,ai_boundary|ai_interior,auc,all,6,0.9541666666666667,0.9541666666666667,nan,nan
cont_both_s0,contrast,sp_boundary|sp_interior,auc,all,0,nan,nan,nan,nan
cont_both_s0,matched_pairs,ai_interior|real_crop,win_rate,all,6,1.0,0.9043533333333333,0.9154781666666666,0.011124833333333334
